#Sample Density: 4 4 4; Volume: Box: 3.000000 3.000000 3.000000
#Frame 0
#Center: 84.902 49.483 42.079
#Basis Matrix:
#-0.194427  0.926257  0.322871
#-0.293072  0.259265 -0.920266
#-0.936113 -0.273549  0.221052
-3 -3 -3 -0.555219 0.0397428 -1.73068
-3 -3 -2.25 -0.118253 3.35481 1.61459
-3 -3 -1.5 0.0353283 0.0373299 0.457392
-3 -3 -0.75 0.241088 -0.164681 0.153547
-3 -3 0 0.28586 -0.182152 0.447571
-3 -3 0.75 -0.068241 0.139805 0.795802
-3 -3 1.5 -0.915554 0.600001 1.83854
-3 -3 2.25 -5.52665 1.25576 1.92628
-3 -3 3 -2.83422 0.789502 -3.05167
-3 -2.25 -3 -0.113315 -0.0352694 -0.170032
-3 -2.25 -2.25 -0.0116341 0.275777 0.00360932
-3 -2.25 -1.5 0.0933114 0.103346 0.0982342
-3 -2.25 -0.75 0.307729 0.049423 0.0855573
-3 -2.25 0 0.4096 0.0404616 0.471742
-3 -2.25 0.75 -0.064656 -0.131888 0.876743
-3 -2.25 1.5 -0.817164 -0.644311 1.36721
-3 -2.25 2.25 -2.52504 -2.12523 0.821965
-3 -2.25 3 -1.53573 -1.2655 -1.58536
-3 -1.5 -3 -0.037354 -0.0209802 0.0520504
-3 -1.5 -2.25 0.0157959 0.0318184 0.0289001
-3 -1.5 -1.5 0.0622985 0.0475726 0.0575685
-3 -1.5 -0.75 0.130756 0.0732277 0.126394
-3 -1.5 0 0.127079 0.0345376 0.339445
-3 -1.5 0.75 -0.0569635 -0.204386 0.545366
-3 -1.5 1.5 -0.325466 -0.612148 0.603652
-3 -1.5 2.25 -0.600485 -1.03077 0.258634
-3 -1.5 3 -0.585692 -0.753661 -0.285448
-3 -0.75 -3 -0.0144868 -0.0192609 0.052814
-3 -0.75 -2.25 0.00822182 -0.0192983 0.0489396
-3 -0.75 -1.5 0.0241435 -0.0105527 0.0712968
-3 -0.75 -0.75 0.0340013 -0.0118433 0.127317
-3 -0.75 0 0.0148828 -0.0645633 0.221295
-3 -0.75 0.75 -0.0510994 -0.204131 0.297864
-3 -0.75 1.5 -0.147997 -0.396783 0.288862
-3 -0.75 2.25 -0.254922 -0.543887 0.159639
-3 -0.75 3 -0.365991 -0.544263 -0.0116762
-3 0 -3 -0.0142971 -0.0501544 0.0406154
-3 0 -2.25 -0.00360017 -0.0537748 0.0514396
-3 0 -1.5 0.00140486 -0.0557721 0.0715039
-3 0 -0.75 -0.000538661 -0.0684118 0.105009
-3 0 0 -0.0147226 -0.108312 0.145396
-3 0 0.75 -0.0449867 -0.183645 0.169757
-3 0 1.5 -0.090003 -0.279355 0.152334
-3 0 2.25 -0.150152 -0.36511 0.0821042
-3 0 3 -0.23366 -0.43197 -0.043926
-3 0.75 -3 -0.0222058 -0.0812131 0.0367753
-3 0.75 -2.25 -0.0144055 -0.0834543 0.0492325
-3 0.75 -1.5 -0.0118001 -0.0874519 0.0653087
-3 0.75 -0.75 -0.0146878 -0.0982395 0.0845518
-3 0.75 0 -0.0240935 -0.122329 0.101122
-3 0.75 0.75 -0.0405833 -0.162031 0.103855
-3 0.75 1.5 -0.0640725 -0.211695 0.0810489
-3 0.75 2.25 -0.0994086 -0.258402 0.0254095
-3 0.75 3 -0.189677 -0.274489 -0.0889328
-3 1.5 -3 -0.0319709 -0.10584 0.0347008
-3 1.5 -2.25 -0.0233779 -0.108879 0.0466929
-3 1.5 -1.5 -0.019967 -0.110908 0.0607479
-3 1.5 -0.75 -0.021514 -0.11474 0.073016
-3 1.5 0 -0.0274998 -0.124468 0.0787329
-3 1.5 0.75 -0.0370056 -0.141471 0.0714672
-3 1.5 1.5 -0.0485809 -0.16448 0.0439262
-3 1.5 2.25 -0.0639546 -0.193686 -0.00512745
-3 1.5 3 -0.130989 -0.216421 -0.0251208
-3 2.25 -3 -0.0411578 -0.127916 0.0279059
